id,name,category,subcategory,neighborhood,description,address,link,latitude,longitude,submitted_by_fid,submitted_by_username,submitted_by_display_name,submitted_by_pfp_url,featured,status,created_at
r0me0000-0000-0000-0000-000000000001,Sant'Eustachio Il Caffè,Coffee,Espresso,Centro Storico,"Order al banco. Pay first, then bring the receipt to the bar. The gran caffè is sweetened by default — say 'amaro' if you don't want sugar. The line moves fast.",Piazza di S. Eustachio 82 00186 Roma,https://www.santeustachioilcaffe.com,41.8983,12.4761,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-01 09:00:00
r0me0000-0000-0000-0000-000000000002,Tazza d'Oro,Coffee,Espresso,Centro Storico,"Twenty meters from the Pantheon. The granita di caffè con panna in summer is the move. In winter just stand at the bar with an espresso and watch tourists try to figure out the queue.",Via degli Orfani 84 00186 Roma,https://tazzadorocoffeeshop.com,41.8993,12.4773,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-01 09:30:00
r0me0000-0000-0000-0000-000000000003,Roscioli Caffè,Coffee,Pasticceria,Centro Storico,"Same family as Salumeria Roscioli. Cornetto and a cappuccino at the bar before 10am, or a properly made negroni after 6. Quiet enough to take a call.",Piazza Benedetto Cairoli 16 00186 Roma,https://www.rosciolicaffe.com,41.8943,12.4748,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-02 08:00:00
r0me0000-0000-0000-0000-000000000004,Salumeria Roscioli,Food & Drink,Italian,Centro Storico,"The cacio e pepe argument starts and ends here. Book two weeks out, sit at the counter if you can, order the burrata. Wine list is unreasonably good.",Via dei Giubbonari 21 00186 Roma,https://www.salumeriaroscioli.com,41.8949,12.4725,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-02 13:00:00
r0me0000-0000-0000-0000-000000000005,Forno Campo de' Fiori,Food & Drink,Bakery,Centro Storico,"Pizza bianca by the etto. Get it warm, fold it, eat it walking. The pizza rossa is a separate religion. Cash is faster than card.",Vicolo del Gallo 14 00186 Roma,https://www.fornocampodefiori.com,41.8956,12.4720,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-02 11:30:00
r0me0000-0000-0000-0000-000000000006,Pizzeria Da Baffetto,Food & Drink,Pizza,Centro Storico,"Roman thin-crust pizza done at 400°C in 90 seconds. There will be a line. They will rush you. That's the experience. Order the bruschetta first.",Via del Governo Vecchio 114 00186 Roma,,41.8989,12.4717,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-03 19:30:00
r0me0000-0000-0000-0000-000000000007,Pantheon,Culture,Landmark,Centro Storico,"Free entry to the best-preserved building of antiquity. Go at 9am or after 6pm to avoid the crush. Look up — the oculus is the only light source.",Piazza della Rotonda 00186 Roma,https://www.pantheonroma.com,41.8986,12.4769,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-03 10:00:00
r0me0000-0000-0000-0000-000000000008,Trevi Fountain,Culture,Landmark,Centro Storico,"Visit at 6:30am if you want a photo without humans. Coin toss is right hand over left shoulder, with your back to the fountain. The water is recycled.",Piazza di Trevi 00187 Roma,,41.9009,12.4833,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-04 07:00:00
r0me0000-0000-0000-0000-000000000009,Galleria Borghese,Culture,Museum,Centro Storico,"Bernini's 'Apollo and Daphne' alone is worth the trip. Mandatory two-hour timed entry — book online a week ahead. The garden is free and underrated.",Piazzale Scipione Borghese 5 00197 Roma,https://galleriaborghese.beniculturali.it,41.9143,12.4922,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,true,approved,2026-04-04 14:00:00
r0me0000-0000-0000-0000-000000000010,Villa Borghese Gardens,Outdoors,Park,Centro Storico,"Largest park in central Rome. Rent a rowboat on the lake, or just sit under a stone pine. The Pincio terrace at sunset is the right move.",Piazzale Napoleone I 00197 Roma,,41.9147,12.4923,218957,genuinejack,Genuine Jack,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/533a424d-d6f8-4c6a-30ec-7658555db700/original,false,approved,2026-04-04 17:00:00
